location,state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,application_date,works_outside_US
District of Columbia,District of Columbia,"(0.01, 1000.0]","(12.0, 24.0]",'existing paid',business,"(1000.0, 2500.0]","[7500.0, 10000.0)",1<=X<4,4.0,'male single',none,2.0,'life insurance',"(30.0, 40.0]",none,own,1.0,'unskilled resident',1.0,yes,yes,good,07/1996,yes
"New Castle, DE",Delaware,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid',radio/tv,"(2500.0, 5000.0]","[0.0, 0.01)",>=7,3.0,,none,4.0,car,"(30.0, 40.0]",none,own,1.0,skilled,,none,no,bad,07/1996,no
"New Castle, DE",Delaware,"(-0.01, 0.01]","(36.0, 48.0]",,'used car',,"[0.0, 0.01)",,4.0,'male single',none,3.0,car,"(30.0, 40.0]",none,own,2.0,skilled,2.0,yes,yes,bad,07/1996,yes
"Bay, FL",Florida,"(0.01, 1000.0]","(36.0, 48.0]",'delayed previously',education,,"[0.01, 100.0)",>=7,4.0,'male single',none,4.0,'no known property',"(40.0, 50.0]",none,'for free',1.0,skilled,1.0,none,yes,good,07/1996,yes
"Bay, FL",Florida,"(-0.01, 0.01]","(36.0, 48.0]",'critical/other existing credit',education,"(5000.0, 7500.0]","[0.0, 0.01)",1<=X<4,4.0,'male single',,3.0,'no known property',"(20.0, 30.0]",bank,own,1.0,,1.0,yes,yes,bad,07/1996,yes
"Brevard, FL",Florida,"(0.01, 1000.0]","(12.0, 24.0]",'existing paid',,"(1000.0, 2500.0]","[0.01, 100.0)",>=7,2.0,'female div/dep/mar',none,4.0,'life insurance',,none,own,1.0,skilled,2.0,none,yes,good,07/1996,yes
"Brevard, FL",Florida,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid','used car',"(5000.0, 7500.0]","[0.0, 0.01)",>=7,,'male single',none,4.0,car,"(40.0, 50.0]",none,own,1.0,'high qualif/self emp/mgmt',2.0,yes,no,bad,07/1996,no
"Brevard, FL",Florida,"(-0.01, 0.01]",,'critical/other existing credit',furniture/equipment,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,1.0,'male mar/wid',none,2.0,'life insurance',"(20.0, 30.0]",none,own,2.0,skilled,1.0,none,1,good,07/1996,1
"Brevard, FL",Florida,"(1000.0, 10000.0]",,'existing paid',furniture/equipment,"(2500.0, 5000.0]","[0.01, 100.0)",,3.0,'male div/sep',none,4.0,'no known property',"(50.0, 60.0]",none,'for free',1.0,skilled,1.0,none,no,good,07/1996,no
"Broward, FL",Florida,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid',furniture/equipment,"(2500.0, 5000.0]","[0.0, 0.01)",>=7,4.0,'male single',none,3.0,'no known property',"(30.0, 40.0]",none,rent,1.0,skilled,1.0,yes,yes,bad,07/1996,yes
"Broward, FL",Florida,"(-0.01, 0.01]","(0.0, 12.0]",,furniture/equipment,"(1000.0, 2500.0]","[0.0, 0.01)",<1,2.0,,none,4.0,'life insurance',,none,rent,1.0,skilled,1.0,none,no,bad,07/1996,no
"Broward, FL",Florida,"(-10000.0, -1000.0]","(12.0, 24.0]",'existing paid','used car',,"[0.0, 0.01)",>=7,1.0,'male single',none,4.0,'life insurance',"(50.0, 60.0]",,'for free',1.0,skilled,2.0,yes,1,bad,07/1996,1
"Broward, FL",Florida,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',furniture/equipment,"(1000.0, 2500.0]","[0.0, 0.01)",<1,,'female div/dep/mar',none,4.0,'life insurance',"(20.0, 30.0]",none,rent,2.0,'unskilled resident',1.0,,no,good,07/1996,no
"Collier, FL",Florida,"(-0.01, 0.01]",,'delayed previously','new car',"(500.0, 1000.0]","[0.0, 0.01)",>=7,4.0,'male mar/wid',none,4.0,car,"(50.0, 60.0]",none,own,2.0,skilled,,yes,yes,good,07/1996,yes
"Miami-Dade, FL",Florida,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid','new car',,"[0.0, 0.01)",<1,,'male single',none,2.0,'real estate',"(30.0, 40.0]",none,own,,'unemp/unskilled non res',1.0,none,yes,good,07/1996,yes
"Miami-Dade, FL",Florida,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit',education,,"[0.0, 0.01)",>=7,4.0,,none,4.0,'no known property',,none,'for free',2.0,skilled,2.0,none,yes,bad,07/1996,yes
"Miami-Dade, FL",Florida,"(0.01, 1000.0]","(12.0, 24.0]",'critical/other existing credit',radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",>=7,3.0,'female div/dep/mar',guarantor,4.0,'real estate',"(40.0, 50.0]",bank,rent,,'unskilled resident',1.0,yes,no,good,07/1996,no
"Miami-Dade, FL",Florida,"(-10000.0, -1000.0]","(12.0, 24.0]",'critical/other existing credit',furniture/equipment,"(2500.0, 5000.0]","[0.01, 100.0)",>=7,1.0,,none,4.0,'life insurance',"(20.0, 30.0]",,own,2.0,skilled,1.0,,no,bad,07/1996,no
"Miami-Dade, FL",Florida,"(-0.01, 0.01]","(0.0, 12.0]",,,"(500.0, 1000.0]","[0.0, 0.01)",>=7,4.0,'male single',,4.0,car,"(30.0, 40.0]",none,own,2.0,skilled,1.0,none,no,bad,07/1996,no
"Duval, FL",Florida,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid','new car',"(5000.0, 7500.0]","[0.0, 0.01)",unemployed,1.0,'female div/dep/mar',none,2.0,'real estate',,none,rent,1.0,'unemp/unskilled non res',1.0,none,yes,good,07/1996,yes
"Escambia, FL",Florida,"(-10000.0, -1000.0]","(24.0, 36.0]",,'new car',"(7500.0, 10000.0]","[0.01, 100.0)",4<=X<7,2.0,'male single',,1.0,car,"(20.0, 30.0]",none,own,1.0,skilled,1.0,,no,good,07/1996,no
"Gadsden, FL",Florida,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid',radio/tv,"(500.0, 1000.0]","[0.01, 100.0)",<1,3.0,,none,3.0,'real estate',"(20.0, 30.0]",none,own,1.0,'unskilled resident',1.0,none,1,good,07/1996,1
"Hillsborough, FL",Florida,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',radio/tv,"(500.0, 1000.0]","[0.0, 0.01)",>=7,4.0,'male single',none,4.0,'real estate',"(60.0, 70.0]",,own,4.0,skilled,1.0,none,no,bad,07/1996,no
"Hillsborough, FL",Florida,"(-0.01, 0.01]","(36.0, 48.0]",'all paid','used car',"(7500.0, 10000.0]","[0.0, 0.01)",unemployed,1.0,'male single',none,2.0,'no known property',"(50.0, 60.0]",bank,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,yes,good,07/1996,yes
"Madison, FL",Florida,"(-0.01, 0.01]","(12.0, 24.0]",'no credits/all paid','new car',"(1000.0, 2500.0]","[0.0, 0.01)",<1,2.0,'female div/dep/mar',none,1.0,'real estate',"(20.0, 30.0]",none,rent,2.0,'unemp/unskilled non res',1.0,,yes,bad,07/1996,yes
"Marion, FL",Florida,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid',business,"(500.0, 1000.0]","[0.01, 100.0)",<1,3.0,'male mar/wid',none,2.0,'real estate',"(20.0, 30.0]",none,own,1.0,skilled,1.0,,no,good,07/1996,no
"Marion, FL",Florida,"(0.01, 1000.0]","(0.0, 12.0]",'existing paid',radio/tv,"(200.0, 500.0]","[0.01, 100.0)",4<=X<7,3.0,'male mar/wid',guarantor,3.0,'real estate',"(20.0, 30.0]",bank,own,1.0,'unskilled resident',,none,no,bad,07/1996,no
"Monroe, FL",Florida,"(-10000.0, -1000.0]","(24.0, 36.0]",'critical/other existing credit','used car',"(7500.0, 10000.0]","[0.01, 100.0)",4<=X<7,4.0,'male single',none,4.0,car,"(20.0, 30.0]",none,own,2.0,,1.0,yes,no,good,07/1996,no
"Orange, FL",Florida,"(-10000.0, -1000.0]","(36.0, 48.0]",'existing paid','domestic appliance',"(2500.0, 5000.0]","[0.01, 100.0)",1<=X<4,3.0,'male single',none,,car,"(50.0, 60.0]",none,own,1.0,skilled,1.0,none,no,bad,07/1996,no
"Palm Beach, FL",Florida,"(-10000.0, -1000.0]","(36.0, 48.0]",'existing paid','new car',"(2500.0, 5000.0]","[0.01, 100.0)",4<=X<7,,'male single',,,'no known property',"(40.0, 50.0]",none,'for free',1.0,skilled,2.0,none,no,good,08/1996,no
"Palm Beach, FL",Florida,"(0.01, 1000.0]","(24.0, 36.0]",'delayed previously','new car',"(5000.0, 7500.0]","[0.01, 100.0)",1<=X<4,,'female div/dep/mar',none,2.0,'life insurance',"(50.0, 60.0]",,rent,1.0,skilled,,none,yes,bad,08/1996,yes
"Palm Beach, FL",Florida,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid','domestic appliance',"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,1.0,'male div/sep',none,4.0,'real estate',"(60.0, 70.0]",none,own,1.0,skilled,1.0,none,no,bad,08/1996,no
"Palm Beach, FL",Florida,"(-0.01, 0.01]","(0.0, 12.0]",,,"(1000.0, 2500.0]","[0.0, 0.01)",,,'female div/dep/mar',none,2.0,car,"(20.0, 30.0]",none,,2.0,skilled,1.0,yes,yes,bad,08/1996,yes
"Pasco, FL",Florida,"(-0.01, 0.01]","(24.0, 36.0]",'existing paid',other,"(15000.0, 20000.0]","[0.0, 0.01)",unemployed,2.0,'male div/sep','co applicant',3.0,car,"(40.0, 50.0]",none,own,,'high qualif/self emp/mgmt',1.0,none,no,good,08/1996,no
"Pinellas, FL",Florida,"(-1000.0, -0.01]","(12.0, 24.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",1<=X<4,,'male mar/wid',none,3.0,'real estate',"(20.0, 30.0]",bank,,1.0,,1.0,,1,bad,08/1996,1
"Pinellas, FL",Florida,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid',,"(1000.0, 2500.0]","[0.0, 0.01)",,3.0,'male mar/wid',none,2.0,'real estate',"(20.0, 30.0]",none,own,,skilled,1.0,yes,no,good,08/1996,no
"Pinellas, FL",Florida,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid',radio/tv,"(2500.0, 5000.0]","[0.0, 0.01)",1<=X<4,3.0,'male mar/wid',none,1.0,car,"(20.0, 30.0]",none,own,1.0,skilled,1.0,none,1,good,08/1996,1
"Polk, FL",Florida,"(-10000.0, -1000.0]","(24.0, 36.0]",'existing paid',furniture/equipment,"(2500.0, 5000.0]","[0.01, 100.0)",>=7,2.0,'male single',none,2.0,'life insurance',"(40.0, 50.0]",bank,own,1.0,skilled,2.0,,yes,good,08/1996,yes
"Polk, FL",Florida,"(-10000.0, -1000.0]","(0.0, 12.0]",'critical/other existing credit','new car',"(500.0, 1000.0]","[0.01, 100.0)",>=7,4.0,'male single',none,4.0,'real estate',,none,own,2.0,,1.0,none,no,bad,08/1996,no
"Polk, FL",Florida,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit',furniture/equipment,"(2500.0, 5000.0]","[0.0, 0.01)",<1,3.0,'male div/sep',none,2.0,car,"(30.0, 40.0]",none,own,2.0,'high qualif/self emp/mgmt',,yes,no,good,08/1996,no
"Polk, FL",Florida,"(-10000.0, -1000.0]","(12.0, 24.0]",'critical/other existing credit','new car',"(1000.0, 2500.0]","[0.01, 100.0)",>=7,4.0,'male mar/wid',none,3.0,car,"(20.0, 30.0]",none,own,2.0,skilled,1.0,yes,no,good,08/1996,no
"St. Lucie, FL",Florida,"(-10000.0, -1000.0]","(12.0, 24.0]",'critical/other existing credit','new car',"(2500.0, 5000.0]","[0.01, 100.0)",,1.0,'female div/dep/mar',none,4.0,'real estate',"(30.0, 40.0]",,rent,3.0,skilled,1.0,yes,no,good,08/1996,no
"Seminole, FL",Florida,"(-0.01, 0.01]","(12.0, 24.0]",,business,"(2500.0, 5000.0]","[0.0, 0.01)",1<=X<4,2.0,'male single',none,2.0,car,"(30.0, 40.0]",stores,,2.0,skilled,2.0,none,no,good,08/1996,no
"Volusia, FL",Florida,"(-10000.0, -1000.0]","(24.0, 36.0]",'existing paid','used car',"(7500.0, 10000.0]","[0.0, 0.01)",>=7,3.0,'male single',none,4.0,'no known property',"(40.0, 50.0]",none,'for free',1.0,skilled,1.0,,yes,good,08/1996,yes
"Baker, GA",Georgia,"(0.01, 1000.0]","(36.0, 48.0]",'delayed previously',business,"(5000.0, 7500.0]","[0.0, 0.01)",1<=X<4,4.0,'male single',none,4.0,'no known property',"(30.0, 40.0]",none,'for free',1.0,skilled,2.0,yes,yes,bad,08/1996,yes
"Baldwin, GA",Georgia,"(-0.01, 0.01]","(12.0, 24.0]",,business,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,4.0,'male single',none,2.0,car,,,own,2.0,skilled,2.0,yes,1,bad,08/1996,1
"Chatham, GA",Georgia,"(-10000.0, -1000.0]","(12.0, 24.0]",'existing paid','new car',"(1000.0, 2500.0]","[0.0, 0.01)",<1,4.0,'female div/dep/mar',none,3.0,car,"(20.0, 30.0]",none,rent,1.0,skilled,,,yes,good,08/1996,yes
"Clayton, GA",Georgia,"(-10000.0, -1000.0]","(36.0, 48.0]",'no credits/all paid',business,"(10000.0, 12500.0]","[0.01, 100.0)",>=7,2.0,'male single',,4.0,car,"(20.0, 30.0]",,rent,2.0,skilled,1.0,none,yes,good,08/1996,yes
"Cobb, GA",Georgia,"(0.01, 1000.0]","(12.0, 24.0]",'existing paid',radio/tv,,"[0.0, 0.01)",>=7,2.0,'female div/dep/mar',none,,car,"(40.0, 50.0]",none,own,1.0,skilled,1.0,,yes,good,08/1996,yes
"De Kalb, GA",Georgia,"(1000.0, 10000.0]","(12.0, 24.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",<1,2.0,'female div/dep/mar',none,3.0,'real estate',"(20.0, 30.0]",none,own,1.0,'unskilled resident',1.0,none,no,good,08/1996,no
"De Kalb, GA",Georgia,"(-10000.0, -1000.0]","(0.0, 12.0]",'no credits/all paid','new car',"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,4.0,'male single',none,4.0,,"(40.0, 50.0]",bank,own,2.0,,1.0,none,yes,good,08/1996,yes
"Elbert, GA",Georgia,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid',,"(500.0, 1000.0]","[0.0, 0.01)",1<=X<4,4.0,'female div/dep/mar',,2.0,car,"(20.0, 30.0]",,own,,skilled,1.0,none,yes,good,08/1996,yes
"Floyd, GA",Georgia,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid',furniture/equipment,"(500.0, 1000.0]","[0.0, 0.01)",<1,1.0,'female div/dep/mar',,3.0,'real estate',"(20.0, 30.0]",,rent,1.0,'unskilled resident',2.0,none,no,bad,08/1996,no
"Fulton, GA",Georgia,"(-10000.0, -1000.0]",,'critical/other existing credit','used car',,"[0.01, 100.0)",>=7,4.0,'male single',none,4.0,'life insurance',"(60.0, 70.0]",none,own,2.0,skilled,,yes,no,bad,08/1996,no
"Harris, GA",Georgia,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit',radio/tv,"(2500.0, 5000.0]","[0.0, 0.01)",>=7,4.0,'male mar/wid','co applicant',,'real estate',"(40.0, 50.0]",none,own,2.0,skilled,1.0,none,no,good,08/1996,no
"Houston, GA",Georgia,"(-10000.0, -1000.0]","(24.0, 36.0]",'existing paid',furniture/equipment,"(5000.0, 7500.0]","[0.01, 100.0)",4<=X<7,4.0,'male single',none,2.0,'life insurance',"(20.0, 30.0]",none,own,1.0,skilled,,none,no,good,08/1996,no
"Muscogee, GA",Georgia,"(-0.01, 0.01]","(12.0, 24.0]",'delayed previously','used car',"(2500.0, 5000.0]","[0.0, 0.01)",1<=X<4,3.0,'male single',none,2.0,'real estate',"(20.0, 30.0]",stores,own,2.0,'unskilled resident',1.0,none,yes,good,08/1996,yes
"Pike, GA",Georgia,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid',repairs,"(1000.0, 2500.0]","[0.0, 0.01)",,4.0,'female div/dep/mar',none,4.0,'real estate',"(20.0, 30.0]",none,,1.0,skilled,1.0,none,yes,good,08/1996,yes
"Richmond, GA",Georgia,"(-0.01, 0.01]","(12.0, 24.0]",'all paid',business,"(1000.0, 2500.0]","[0.0, 0.01)",4<=X<7,4.0,'male single',none,4.0,car,"(40.0, 50.0]",bank,,1.0,skilled,1.0,yes,no,good,08/1996,no
"Spalding, GA",Georgia,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid',furniture/equipment,"(2500.0, 5000.0]","[0.0, 0.01)",>=7,4.0,'male single',none,4.0,'life insurance',"(40.0, 50.0]",bank,own,,skilled,2.0,,1,good,08/1996,1
"Terrell, GA",Georgia,"(0.01, 1000.0]","(12.0, 24.0]",,furniture/equipment,"(2500.0, 5000.0]","[0.0, 0.01)",4<=X<7,2.0,,none,3.0,,"(30.0, 40.0]",none,own,1.0,skilled,1.0,yes,no,good,09/1996,no
"Toombs, GA",Georgia,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid','new car',"(5000.0, 7500.0]","[0.0, 0.01)",1<=X<4,2.0,'male single',none,4.0,car,"(60.0, 70.0]",none,rent,2.0,skilled,1.0,,yes,good,09/1996,yes
"Washington, GA",Georgia,"(-0.01, 0.01]",,,'new car',"(1000.0, 2500.0]","[0.0, 0.01)",<1,,'male mar/wid',none,2.0,'real estate',"(20.0, 30.0]",none,own,1.0,skilled,1.0,none,yes,bad,09/1996,yes
"Fulton, GA",Georgia,"(-10000.0, -1000.0]","(0.0, 12.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",4<=X<7,,'male single',none,4.0,'real estate',"(50.0, 60.0]",none,own,1.0,skilled,1.0,,no,good,09/1996,no
"Honolulu, HI",Hawaii,"(-10000.0, -1000.0]","(0.0, 12.0]",'existing paid',,"(500.0, 1000.0]","[0.01, 100.0)",>=7,4.0,'male single',none,4.0,'real estate',"(50.0, 60.0]",stores,own,1.0,'unskilled resident',1.0,none,1,good,09/1996,1
"Boone, IA",Iowa,"(-10000.0, -1000.0]","(12.0, 24.0]",'critical/other existing credit','new car',"(1000.0, 2500.0]","[0.01, 100.0)",1<=X<4,4.0,'male mar/wid',guarantor,2.0,'life insurance',,bank,rent,2.0,skilled,1.0,none,no,good,09/1996,no
"Henry, IA",Iowa,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit','used car',"(2500.0, 5000.0]","[0.0, 0.01)",4<=X<7,3.0,'male single',none,4.0,'life insurance',"(40.0, 50.0]",none,own,2.0,skilled,1.0,yes,no,good,09/1996,no
"Johnson, IA",Iowa,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,4.0,'male single',none,4.0,'no known property',"(30.0, 40.0]",none,'for free',2.0,skilled,1.0,yes,yes,bad,09/1996,yes
"Linn, IA",Iowa,"(-10000.0, -1000.0]","(12.0, 24.0]",'all paid',,"(1000.0, 2500.0]","[0.01, 100.0)",4<=X<7,4.0,'male single',none,4.0,,"(30.0, 40.0]",none,'for free',2.0,'unskilled resident',2.0,none,no,good,09/1996,no
"Linn, IA",Iowa,"(-0.01, 0.01]","(24.0, 36.0]",'delayed previously','new car',"(10000.0, 12500.0]","[0.0, 0.01)",>=7,2.0,'male single',none,2.0,car,"(40.0, 50.0]",,own,2.0,skilled,2.0,yes,no,bad,09/1996,no
"Marshall, IA",Iowa,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid','new car',"(1000.0, 2500.0]","[0.0, 0.01)",<1,4.0,'male mar/wid',none,,'real estate',"(30.0, 40.0]",none,own,1.0,skilled,1.0,yes,no,good,09/1996,no
"Pottawattamie, IA",Iowa,"(-0.01, 0.01]",,'existing paid',retraining,"(500.0, 1000.0]","[0.0, 0.01)",4<=X<7,4.0,'female div/dep/mar',none,3.0,'life insurance',"(30.0, 40.0]",none,own,1.0,skilled,1.0,yes,yes,bad,09/1996,yes
"Canyon, ID",Idaho,"(-0.01, 0.01]",,'critical/other existing credit',furniture/equipment,"(2500.0, 5000.0]","[0.0, 0.01)",1<=X<4,4.0,,none,2.0,'no known property',,,'for free',1.0,skilled,,yes,yes,good,09/1996,yes
"Canyon, ID",Idaho,"(-10000.0, -1000.0]","(12.0, 24.0]",'existing paid','new car',"(2500.0, 5000.0]","[0.01, 100.0)",1<=X<4,3.0,'female div/dep/mar',none,2.0,,"(20.0, 30.0]",none,own,1.0,skilled,1.0,yes,no,bad,09/1996,no
"Adams, IL",Illinois,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid','new car',"(2500.0, 5000.0]","[0.0, 0.01)",1<=X<4,1.0,'male single',guarantor,2.0,'real estate',"(20.0, 30.0]",none,rent,1.0,skilled,2.0,none,no,bad,09/1996,no
"Champaign, IL",Illinois,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit',,"(5000.0, 7500.0]","[0.0, 0.01)",1<=X<4,4.0,'male single',none,2.0,'real estate',,none,own,2.0,skilled,,none,1,bad,09/1996,1
"Cook, IL",Illinois,"(-0.01, 0.01]","(12.0, 24.0]",'delayed previously',business,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,4.0,'male mar/wid',none,2.0,car,,none,own,1.0,skilled,1.0,,no,good,09/1996,no
"Cook, IL",Illinois,"(-10000.0, -1000.0]","(12.0, 24.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",<1,,'female div/dep/mar',none,,'real estate',"(30.0, 40.0]",none,own,1.0,,1.0,yes,1,good,09/1996,1
"Chicago, IL",Illinois,"(-0.01, 0.01]","(24.0, 36.0]",'critical/other existing credit',furniture/equipment,"(2500.0, 5000.0]","[0.0, 0.01)",<1,4.0,'male single',none,2.0,'real estate',"(30.0, 40.0]",stores,own,2.0,'unskilled resident',2.0,yes,no,bad,09/1996,no
"Cook, IL",Illinois,"(-0.01, 0.01]","(0.0, 12.0]",'existing paid',furniture/equipment,"(1000.0, 2500.0]","[0.0, 0.01)",,2.0,'male single',,2.0,'real estate',"(20.0, 30.0]",,,1.0,'unskilled resident',1.0,none,no,good,09/1996,no
"Cook, IL",Illinois,"(-0.01, 0.01]","(12.0, 24.0]",,furniture/equipment,"(1000.0, 2500.0]","[0.0, 0.01)",1<=X<4,2.0,'female div/dep/mar',none,4.0,car,"(10.0, 20.0]",none,rent,1.0,skilled,1.0,none,no,bad,09/1996,no
"Chicago, IL",Illinois,"(-10000.0, -1000.0]","(12.0, 24.0]",'existing paid',radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",<1,4.0,,none,1.0,car,"(20.0, 30.0]",stores,own,1.0,skilled,1.0,,yes,bad,09/1996,yes
"Cook, IL",Illinois,"(-0.01, 0.01]","(0.0, 12.0]",'critical/other existing credit',furniture/equipment,"(2500.0, 5000.0]","[0.0, 0.01)",>=7,2.0,'male single',none,4.0,'life insurance',"(40.0, 50.0]",stores,own,1.0,skilled,1.0,none,1,bad,09/1996,1
"Chicago, IL",Illinois,"(-0.01, 0.01]","(24.0, 36.0]",'existing paid',business,"(5000.0, 7500.0]","[0.0, 0.01)",>=7,3.0,'male single',none,2.0,,"(30.0, 40.0]",none,own,2.0,skilled,1.0,none,yes,good,09/1996,yes
"DuPage, IL",Illinois,"(-1000.0, -0.01]","(0.0, 12.0]",'existing paid',furniture/equipment,"(500.0, 1000.0]","[0.01, 100.0)",>=7,4.0,'female div/dep/mar',none,4.0,'life insurance',"(20.0, 30.0]",none,,1.0,skilled,1.0,none,yes,bad,09/1996,yes
"DuPage, IL",Illinois,"(-0.01, 0.01]","(24.0, 36.0]",'delayed previously',furniture/equipment,,"[0.0, 0.01)",4<=X<7,2.0,'female div/dep/mar',none,4.0,car,"(30.0, 40.0]",none,,2.0,skilled,,yes,no,bad,09/1996,no
"Henry, IL",Illinois,"(1000.0, 10000.0]","(0.0, 12.0]",'critical/other existing credit','new car',"(1000.0, 2500.0]","[0.01, 100.0)",>=7,1.0,'male single',none,4.0,'real estate',"(40.0, 50.0]",none,own,2.0,skilled,2.0,none,no,bad,09/1996,no
"Kane, IL",Illinois,"(-1000.0, -0.01]","(12.0, 24.0]",'critical/other existing credit',business,,"[100.0, 500.0)",4<=X<7,,'male single',none,,'real estate',"(20.0, 30.0]",none,own,2.0,skilled,1.0,yes,yes,good,09/1996,yes
"Kane, IL",Illinois,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid','domestic appliance',"(500.0, 1000.0]","[0.0, 0.01)",<1,4.0,'female div/dep/mar',none,1.0,'real estate',"(20.0, 30.0]",none,own,1.0,skilled,1.0,none,no,good,09/1996,no
"Kankakee, IL",Illinois,"(-10000.0, -1000.0]","(0.0, 12.0]",'existing paid',furniture/equipment,,"[0.0, 0.01)",1<=X<4,2.0,'male single','co applicant',2.0,'life insurance',"(20.0, 30.0]",none,own,1.0,'unskilled resident',2.0,none,yes,bad,09/1996,yes
"Lake, IL",Illinois,"(0.01, 1000.0]","(0.0, 12.0]",'critical/other existing credit','new car',"(1000.0, 2500.0]","[5000.0, 7500.0)",1<=X<4,4.0,'female div/dep/mar',none,,car,"(30.0, 40.0]",none,,2.0,skilled,1.0,none,no,good,10/1996,no
"McLean, IL",Illinois,"(-1000.0, -0.01]","(12.0, 24.0]",'all paid',radio/tv,"(1000.0, 2500.0]","[0.01, 100.0)",<1,3.0,'male single','co applicant',4.0,'no known property',"(30.0, 40.0]",bank,'for free',1.0,'high qualif/self emp/mgmt',1.0,yes,no,bad,10/1996,no
"Macon, IL",Illinois,"(-0.01, 0.01]","(24.0, 36.0]",'existing paid',radio/tv,"(2500.0, 5000.0]","[0.0, 0.01)",>=7,4.0,'male single',none,2.0,car,"(20.0, 30.0]",none,own,1.0,skilled,1.0,none,no,good,10/1996,no
"Madison, IL",Illinois,"(-10000.0, -1000.0]","(0.0, 12.0]",'existing paid','new car',"(1000.0, 2500.0]","[0.01, 100.0)",<1,3.0,'male single',none,2.0,'no known property',"(20.0, 30.0]",none,'for free',,,1.0,yes,yes,good,10/1996,yes
"Madison, IL",Illinois,"(-0.01, 0.01]","(24.0, 36.0]",'critical/other existing credit',radio/tv,,"[0.0, 0.01)",4<=X<7,2.0,'male single',none,3.0,'life insurance',"(30.0, 40.0]",none,own,2.0,skilled,1.0,none,no,good,10/1996,no
"St. Clair, IL",Illinois,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid','used car',"(7500.0, 10000.0]","[0.0, 0.01)",4<=X<7,3.0,'male single',none,3.0,car,"(30.0, 40.0]",none,own,1.0,,1.0,yes,1,good,10/1996,1
"St. Clair, IL",Illinois,"(-0.01, 0.01]","(12.0, 24.0]",'existing paid','used car',"(7500.0, 10000.0]","[0.0, 0.01)",1<=X<4,2.0,'male div/sep',none,4.0,'no known property',"(40.0, 50.0]",none,'for free',1.0,skilled,1.0,yes,yes,good,10/1996,yes
"St. Clair, IL",Illinois,"(-0.01, 0.01]","(24.0, 36.0]",'critical/other existing credit','new car',"(1000.0, 2500.0]","[0.0, 0.01)",>=7,4.0,'male single',none,4.0,'real estate',"(30.0, 40.0]",none,own,2.0,skilled,1.0,,no,bad,10/1996,no
"Sangamon, IL",Illinois,"(-0.01, 0.01]","(12.0, 24.0]",'critical/other existing credit',radio/tv,"(1000.0, 2500.0]","[0.0, 0.01)",unemployed,4.0,'female div/dep/mar',none,4.0,car,"(60.0, 70.0]",none,own,,'unemp/unskilled non res',1.0,,yes,good,10/1996,yes
"Vermilion, IL",Illinois,"(0.01, 1000.0]","(12.0, 24.0]",'existing paid',,"(2500.0, 5000.0]","[0.01, 100.0)",4<=X<7,3.0,'male div/sep',none,3.0,car,,none,own,,skilled,,yes,no,bad,10/1996,no
