state,checking_amt,duration,credit_history,purpose,credit_amount,savings,employment,installment_commitment,personal_status,other_parties,residence_since,property_magnitude,age,other_payment_plans,housing,existing_credits,job,num_dependents,own_telephone,foreign_worker,class,application_date,works_outside_US
Pennsylvania,'(-5000.0, -2500.0]','(0.0, 12.0]','critical/other existing credit',radio/tv,?,'[0.0, 0.01)',>=7,?,'male single',none,4,'real estate','(60.0, 70.0]',none,own,2,skilled,1,yes,no,bad,05/1994,no
California,'(-0.01, 0.01]','(24.0, 36.0]','critical/other existing credit',radio/tv,'(5000.0, 7500.0]','[0.0, 0.01)',4<=X<7,4,'female div/dep/mar',none,2,car,'(20.0, 30.0]',none,?,2,?,1,none,yes,bad,06/1996,yes
California,'(-0.01, 0.01]',?,'delayed previously',repairs,'(1000.0, 2500.0]','[0.0, 0.01)',>=7,4,'male single',none,4,'no known property','(50.0, 60.0]',none,'for free',2,skilled,?,none,yes,good,06/1996,yes
California,'(-10000.0, -7500.0]','(12.0, 24.0]','existing paid',?,'(1000.0, 2500.0]','[0.0, 0.01)',4<=X<7,4,'female div/dep/mar',none,4,?,'(30.0, 40.0]',none,rent,1,?,?,none,yes,good,06/1996,yes
California,'(7500.0, 10000.0]','(0.0, 12.0]','critical/other existing credit','new car','(1000.0, 2500.0]','[50.0, 100.0)',1<=X<4,1,'male single',none,1,'real estate',?,none,?,3,'unemp/unskilled non res',2,none,yes,good,06/1996,yes
California,'(7500.0, 10000.0]','(12.0, 24.0]','critical/other existing credit',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,3,'male single',none,?,'no known property','(30.0, 40.0]',none,'for free',2,skilled,1,yes,yes,bad,06/1996,yes
California,'(-0.01, 0.01]','(12.0, 24.0]','existing paid','new car','(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,?,'male single',guarantor,2,'real estate','(30.0, 40.0]',none,?,1,skilled,1,yes,no,good,06/1996,no
California,'(-500.0, -100.0]','(0.0, 12.0]','critical/other existing credit','new car','(500.0, 1000.0]','[0.01, 20.0)',>=7,4,'male single',none,3,'life insurance','(30.0, 40.0]',none,?,2,skilled,1,none,no,bad,06/1996,no
California,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit','new car',?,'[0.0, 0.01)',>=7,1,?,?,4,car,'(50.0, 60.0]',none,own,1,skilled,1,yes,yes,bad,06/1996,yes
California,'(-5000.0, -2500.0]','(12.0, 24.0]','critical/other existing credit',furniture/equipment,'(1000.0, 2500.0]','[20.0, 50.0)',1<=X<4,4,'female div/dep/mar',none,4,'real estate','(20.0, 30.0]',none,rent,2,skilled,1,none,yes,good,06/1996,yes
California,'(-2500.0, -1000.0]','(0.0, 12.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,'male single',none,3,'life insurance','(20.0, 30.0]',none,own,1,'unskilled resident',1,none,yes,good,06/1996,yes
California,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit','new car',?,'[0.0, 0.01)',?,4,'male single',none,4,'no known property','(20.0, 30.0]',none,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,bad,06/1996,yes
California,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit',?,'(1000.0, 2500.0]','[0.0, 0.01)',4<=X<7,4,'male mar/wid',none,3,'life insurance','(20.0, 30.0]',none,?,2,?,1,yes,no,bad,06/1996,no
California,'(100.0, 500.0]','(0.0, 12.0]',?,radio/tv,?,'[0.01, 20.0)',?,3,?,?,3,'real estate','(30.0, 40.0]',bank,own,2,'unskilled resident',1,none,yes,good,06/1996,yes
California,'(-0.01, 0.01]','(24.0, 36.0]',?,furniture/equipment,'(2500.0, 5000.0]','[0.0, 0.01)',<1,2,'male div/sep',none,4,'life insurance','(30.0, 40.0]',none,?,1,'unskilled resident',1,?,no,bad,06/1996,no
California,'(-0.01, 0.01]',?,'existing paid','used car','(2500.0, 5000.0]','[0.0, 0.01)',<1,1,'female div/dep/mar',?,?,?,'(30.0, 40.0]',none,rent,1,skilled,?,none,yes,good,06/1996,yes
California,'(50.0, 100.0]','(0.0, 12.0]','critical/other existing credit',furniture/equipment,'(2500.0, 5000.0]','[50.0, 100.0)',>=7,?,'male single',?,4,?,'(20.0, 30.0]',none,rent,3,skilled,1,yes,yes,good,06/1996,yes
California,'(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit',?,'(1000.0, 2500.0]','[0.0, 0.01)',>=7,2,'male single',none,4,'real estate',?,none,own,2,'unskilled resident',1,yes,no,good,06/1996,no
California,'(-7500.0, -5000.0]','(12.0, 24.0]','existing paid','used car','(2500.0, 5000.0]','[0.0, 0.01)',>=7,2,'female div/dep/mar',none,4,'real estate','(20.0, 30.0]',none,rent,1,skilled,1,none,yes,good,06/1996,yes
California,'(-2500.0, -1000.0]','(24.0, 36.0]',?,education,'(7500.0, 10000.0]','[50.0, 100.0)',1<=X<4,3,'female div/dep/mar',none,2,'no known property','(20.0, 30.0]',none,own,2,'high qualif/self emp/mgmt',1,yes,yes,bad,06/1996,yes
California,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit','used car','(2500.0, 5000.0]','[0.0, 0.01)',>=7,1,'male single',none,4,car,'(30.0, 40.0]',none,own,1,'high qualif/self emp/mgmt',1,yes,yes,good,06/1996,yes
California,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',>=7,4,'male single',none,4,'life insurance',?,?,own,2,skilled,1,none,no,good,06/1996,no
California,'(2500.0, 5000.0]',?,'critical/other existing credit','new car','(1000.0, 2500.0]','[500.0, 1000.0)',unemployed,2,'male single',?,4,?,?,?,'for free',3,'unemp/unskilled non res',?,none,no,bad,06/1996,no
California,'(-10000.0, -7500.0]','(12.0, 24.0]','existing paid','new car',?,'[0.0, 0.01)',1<=X<4,4,'female div/dep/mar',none,?,'real estate','(20.0, 30.0]',none,rent,1,skilled,1,none,yes,good,06/1996,yes
California,'(-0.01, 0.01]','(24.0, 36.0]','critical/other existing credit','new car','(2500.0, 5000.0]','[0.0, 0.01)',4<=X<7,4,?,none,4,car,'(30.0, 40.0]',none,own,2,skilled,1,yes,yes,good,06/1996,yes
California,'(-7500.0, -5000.0]','(12.0, 24.0]','existing paid',radio/tv,'(2500.0, 5000.0]','[0.01, 20.0)',4<=X<7,?,'female div/dep/mar',guarantor,1,'real estate','(20.0, 30.0]',none,own,1,skilled,1,none,no,bad,06/1996,no
Colorado,'(-0.01, 0.01]',?,'critical/other existing credit','used car','(5000.0, 7500.0]','[0.0, 0.01)',>=7,4,?,none,?,car,'(30.0, 40.0]',none,own,2,?,1,yes,yes,good,06/1996,yes
Colorado,'(-0.01, 0.01]','(12.0, 24.0]','existing paid',repairs,'(2500.0, 5000.0]','[0.0, 0.01)',unemployed,2,'female div/dep/mar',none,4,car,'(60.0, 70.0]',none,own,1,skilled,1,yes,no,bad,06/1996,no
Colorado,'(100.0, 500.0]','(36.0, 48.0]','critical/other existing credit',radio/tv,'(2500.0, 5000.0]','[20.0, 50.0)',4<=X<7,2,'male single',guarantor,2,'real estate','(20.0, 30.0]',none,own,2,skilled,1,none,no,bad,06/1996,no
Colorado,'(-0.01, 0.01]',?,'critical/other existing credit','new car','(1000.0, 2500.0]','[0.0, 0.01)',>=7,4,'male single',none,4,'real estate','(50.0, 60.0]',none,own,1,skilled,1,yes,yes,good,06/1996,yes
Connecticut,'(100.0, 500.0]','(0.0, 12.0]','no credits/all paid',retraining,'(1000.0, 2500.0]','[20.0, 50.0)',1<=X<4,2,'male single',none,2,'real estate','(30.0, 40.0]',none,own,1,'unskilled resident',1,yes,yes,good,06/1996,yes
Connecticut,'(0.01, 20.0]','(0.0, 12.0]','existing paid','new car','(500.0, 1000.0]','[100.0, 500.0)',<1,4,'female div/dep/mar',none,2,'life insurance','(20.0, 30.0]',bank,own,1,'unskilled resident',1,none,no,bad,07/1996,no
'District of Columbia','(50.0, 100.0]','(12.0, 24.0]','existing paid','used car','(5000.0, 7500.0]','[0.0, 0.01)',unemployed,1,'male div/sep',none,4,'real estate','(50.0, 60.0]',none,own,1,'high qualif/self emp/mgmt',1,yes,no,good,07/1996,no
'District of Columbia','(20.0, 50.0]','(12.0, 24.0]','existing paid',business,'(1000.0, 2500.0]','[7500.0, 10000.0)',1<=X<4,4,'male single',none,2,'life insurance','(30.0, 40.0]',none,own,1,'unskilled resident',1,yes,yes,good,07/1996,yes
Delaware,'(-0.01, 0.01]','(12.0, 24.0]','existing paid',radio/tv,'(2500.0, 5000.0]','[0.0, 0.01)',>=7,3,?,none,4,car,'(30.0, 40.0]',none,own,1,skilled,?,none,no,bad,07/1996,no
Delaware,'(-0.01, 0.01]','(36.0, 48.0]',?,'used car',?,'[0.0, 0.01)',?,4,'male single',none,3,car,'(30.0, 40.0]',none,own,2,skilled,2,yes,yes,bad,07/1996,yes
Florida,'(20.0, 50.0]','(36.0, 48.0]','delayed previously',education,?,'[50.0, 100.0)',>=7,4,'male single',none,4,'no known property','(40.0, 50.0]',none,'for free',1,skilled,1,none,yes,good,07/1996,yes
Florida,'(-0.01, 0.01]','(36.0, 48.0]','critical/other existing credit',education,'(5000.0, 7500.0]','[0.0, 0.01)',1<=X<4,4,'male single',?,3,'no known property','(20.0, 30.0]',bank,own,1,?,1,yes,yes,bad,07/1996,yes
Florida,'(20.0, 50.0]','(12.0, 24.0]','existing paid',?,'(1000.0, 2500.0]','[20.0, 50.0)',>=7,2,'female div/dep/mar',none,4,'life insurance',?,none,own,1,skilled,2,none,yes,good,07/1996,yes
Florida,'(-0.01, 0.01]','(12.0, 24.0]','existing paid','used car','(5000.0, 7500.0]','[0.0, 0.01)',>=7,?,'male single',none,4,car,'(40.0, 50.0]',none,own,1,'high qualif/self emp/mgmt',2,yes,no,bad,07/1996,no
Florida,'(-0.01, 0.01]',?,'critical/other existing credit',furniture/equipment,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,1,'male mar/wid',none,2,'life insurance','(20.0, 30.0]',none,own,2,skilled,1,none,yes,good,07/1996,yes
Florida,'(5000.0, 7500.0]',?,'existing paid',furniture/equipment,'(2500.0, 5000.0]','[20.0, 50.0)',?,3,'male div/sep',none,4,'no known property','(50.0, 60.0]',none,'for free',1,skilled,1,none,no,good,07/1996,no
Florida,'(-0.01, 0.01]','(12.0, 24.0]','existing paid',furniture/equipment,'(2500.0, 5000.0]','[0.0, 0.01)',>=7,4,'male single',none,3,'no known property','(30.0, 40.0]',none,rent,1,skilled,1,yes,yes,bad,07/1996,yes
Florida,'(-0.01, 0.01]','(0.0, 12.0]',?,furniture/equipment,'(1000.0, 2500.0]','[0.0, 0.01)',<1,2,?,none,4,'life insurance',?,none,rent,1,skilled,1,none,no,bad,07/1996,no
Florida,'(-5000.0, -2500.0]','(12.0, 24.0]','existing paid','used car',?,'[0.0, 0.01)',>=7,1,'male single',none,4,'life insurance','(50.0, 60.0]',?,'for free',1,skilled,2,yes,yes,bad,07/1996,yes
Florida,'(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit',furniture/equipment,'(1000.0, 2500.0]','[0.0, 0.01)',<1,?,'female div/dep/mar',none,4,'life insurance','(20.0, 30.0]',none,rent,2,'unskilled resident',1,?,no,good,07/1996,no
Florida,'(-0.01, 0.01]',?,'delayed previously','new car','(500.0, 1000.0]','[0.0, 0.01)',>=7,4,'male mar/wid',none,4,car,'(50.0, 60.0]',none,own,2,skilled,?,yes,yes,good,07/1996,yes
Florida,'(50.0, 100.0]','(0.0, 12.0]','existing paid','new car',?,'[0.0, 0.01)',<1,?,'male single',none,2,'real estate','(30.0, 40.0]',none,own,?,'unemp/unskilled non res',1,none,yes,good,07/1996,yes
Florida,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit',education,?,'[0.0, 0.01)',>=7,4,?,none,4,'no known property',?,none,'for free',2,skilled,2,none,yes,bad,07/1996,yes
Florida,'(100.0, 500.0]','(12.0, 24.0]','critical/other existing credit',radio/tv,'(1000.0, 2500.0]','[20.0, 50.0)',>=7,3,'female div/dep/mar',guarantor,4,'real estate','(40.0, 50.0]',bank,rent,?,'unskilled resident',1,yes,no,good,07/1996,no
Florida,'(-10000.0, -7500.0]','(12.0, 24.0]','critical/other existing credit',furniture/equipment,'(2500.0, 5000.0]','[50.0, 100.0)',>=7,1,?,none,4,'life insurance','(20.0, 30.0]',?,own,2,skilled,1,?,no,bad,07/1996,no
Florida,'(-0.01, 0.01]','(0.0, 12.0]',?,?,'(500.0, 1000.0]','[0.0, 0.01)',>=7,4,'male single',?,4,car,'(30.0, 40.0]',none,own,2,skilled,1,none,no,bad,07/1996,no
Florida,'(20.0, 50.0]','(0.0, 12.0]','existing paid','new car','(5000.0, 7500.0]','[0.0, 0.01)',unemployed,1,'female div/dep/mar',none,2,'real estate',?,none,rent,1,'unemp/unskilled non res',1,none,yes,good,07/1996,yes
Florida,'(-10000.0, -7500.0]','(24.0, 36.0]',?,'new car','(7500.0, 10000.0]','[0.01, 20.0)',4<=X<7,2,'male single',?,1,car,'(20.0, 30.0]',none,own,1,skilled,1,?,no,good,07/1996,no
Florida,'(0.01, 20.0]','(0.0, 12.0]','existing paid',radio/tv,'(500.0, 1000.0]','[50.0, 100.0)',<1,3,?,none,3,'real estate','(20.0, 30.0]',none,own,1,'unskilled resident',1,none,yes,good,07/1996,yes
Florida,'(-0.01, 0.01]','(0.0, 12.0]','critical/other existing credit',radio/tv,'(500.0, 1000.0]','[0.0, 0.01)',>=7,4,'male single',none,4,'real estate','(60.0, 70.0]',?,own,4,skilled,1,none,no,bad,07/1996,no
Florida,'(-0.01, 0.01]','(36.0, 48.0]','all paid','used car','(7500.0, 10000.0]','[0.0, 0.01)',unemployed,1,'male single',none,2,'no known property','(50.0, 60.0]',bank,'for free',1,'high qualif/self emp/mgmt',1,yes,yes,good,07/1996,yes
Florida,'(-0.01, 0.01]','(12.0, 24.0]','no credits/all paid','new car','(1000.0, 2500.0]','[0.0, 0.01)',<1,2,'female div/dep/mar',none,1,'real estate','(20.0, 30.0]',none,rent,2,'unemp/unskilled non res',1,?,yes,bad,07/1996,yes
Florida,'(50.0, 100.0]','(0.0, 12.0]','existing paid',business,'(500.0, 1000.0]','[0.01, 20.0)',<1,3,'male mar/wid',none,2,'real estate','(20.0, 30.0]',none,own,1,skilled,1,?,no,good,07/1996,no
Florida,'(50.0, 100.0]','(0.0, 12.0]','existing paid',radio/tv,'(200.0, 500.0]','[50.0, 100.0)',4<=X<7,3,'male mar/wid',guarantor,3,'real estate','(20.0, 30.0]',bank,own,1,'unskilled resident',?,none,no,bad,07/1996,no
Florida,'(-5000.0, -2500.0]','(24.0, 36.0]','critical/other existing credit','used car','(7500.0, 10000.0]','[50.0, 100.0)',4<=X<7,4,'male single',none,4,car,'(20.0, 30.0]',none,own,2,?,1,yes,no,good,07/1996,no
Florida,'(-7500.0, -5000.0]','(36.0, 48.0]','existing paid','domestic appliance','(2500.0, 5000.0]','[50.0, 100.0)',1<=X<4,3,'male single',none,?,car,'(50.0, 60.0]',none,own,1,skilled,1,none,no,bad,07/1996,no
Florida,'(-7500.0, -5000.0]','(36.0, 48.0]','existing paid','new car','(2500.0, 5000.0]','[50.0, 100.0)',4<=X<7,?,'male single',?,?,'no known property','(40.0, 50.0]',none,'for free',1,skilled,2,none,no,good,08/1996,no
Florida,'(20.0, 50.0]','(24.0, 36.0]','delayed previously','new car','(5000.0, 7500.0]','[0.01, 20.0)',1<=X<4,?,'female div/dep/mar',none,2,'life insurance','(50.0, 60.0]',?,rent,1,skilled,?,none,yes,bad,08/1996,yes
Florida,'(-0.01, 0.01]','(0.0, 12.0]','existing paid','domestic appliance','(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,1,'male div/sep',none,4,'real estate','(60.0, 70.0]',none,own,1,skilled,1,none,no,bad,08/1996,no
Florida,'(-0.01, 0.01]','(0.0, 12.0]',?,?,'(1000.0, 2500.0]','[0.0, 0.01)',?,?,'female div/dep/mar',none,2,car,'(20.0, 30.0]',none,?,2,skilled,1,yes,yes,bad,08/1996,yes
Florida,'(-0.01, 0.01]','(24.0, 36.0]','existing paid',other,'(15000.0, 20000.0]','[0.0, 0.01)',unemployed,2,'male div/sep','co applicant',3,car,'(40.0, 50.0]',none,own,?,'high qualif/self emp/mgmt',1,none,no,good,08/1996,no
Florida,'(-1000.0, -500.0]','(12.0, 24.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[50.0, 100.0)',1<=X<4,?,'male mar/wid',none,3,'real estate','(20.0, 30.0]',bank,?,1,?,1,?,yes,bad,08/1996,yes
Florida,'(-0.01, 0.01]','(0.0, 12.0]','existing paid',?,'(1000.0, 2500.0]','[0.0, 0.01)',?,3,'male mar/wid',none,2,'real estate','(20.0, 30.0]',none,own,?,skilled,1,yes,no,good,08/1996,no
Florida,'(-0.01, 0.01]','(0.0, 12.0]','existing paid',radio/tv,'(2500.0, 5000.0]','[0.0, 0.01)',1<=X<4,3,'male mar/wid',none,1,car,'(20.0, 30.0]',none,own,1,skilled,1,none,yes,good,08/1996,yes
Florida,'(-10000.0, -7500.0]','(24.0, 36.0]','existing paid',furniture/equipment,'(2500.0, 5000.0]','[20.0, 50.0)',>=7,2,'male single',none,2,'life insurance','(40.0, 50.0]',bank,own,1,skilled,2,?,yes,good,08/1996,yes
Florida,'(-7500.0, -5000.0]','(0.0, 12.0]','critical/other existing credit','new car','(500.0, 1000.0]','[20.0, 50.0)',>=7,4,'male single',none,4,'real estate',?,none,own,2,?,1,none,no,bad,08/1996,no
Florida,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit',furniture/equipment,'(2500.0, 5000.0]','[0.0, 0.01)',<1,3,'male div/sep',none,2,car,'(30.0, 40.0]',none,own,2,'high qualif/self emp/mgmt',?,yes,no,good,08/1996,no
Florida,'(-7500.0, -5000.0]','(12.0, 24.0]','critical/other existing credit','new car','(1000.0, 2500.0]','[50.0, 100.0)',>=7,4,'male mar/wid',none,3,car,'(20.0, 30.0]',none,own,2,skilled,1,yes,no,good,08/1996,no
Florida,'(-5000.0, -2500.0]','(12.0, 24.0]','critical/other existing credit','new car','(2500.0, 5000.0]','[50.0, 100.0)',?,1,'female div/dep/mar',none,4,'real estate','(30.0, 40.0]',?,rent,3,skilled,1,yes,no,good,08/1996,no
Florida,'(-0.01, 0.01]','(12.0, 24.0]',?,business,'(2500.0, 5000.0]','[0.0, 0.01)',1<=X<4,2,'male single',none,2,car,'(30.0, 40.0]',stores,?,2,skilled,2,none,no,good,08/1996,no
Florida,'(-2500.0, -1000.0]','(24.0, 36.0]','existing paid','used car','(7500.0, 10000.0]','[0.0, 0.01)',>=7,3,'male single',none,4,'no known property','(40.0, 50.0]',none,'for free',1,skilled,1,?,yes,good,08/1996,yes
Georgia,'(20.0, 50.0]','(36.0, 48.0]','delayed previously',business,'(5000.0, 7500.0]','[0.0, 0.01)',1<=X<4,4,'male single',none,4,'no known property','(30.0, 40.0]',none,'for free',1,skilled,2,yes,yes,bad,08/1996,yes
Georgia,'(-0.01, 0.01]','(12.0, 24.0]',?,business,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,'male single',none,2,car,?,?,own,2,skilled,2,yes,yes,bad,08/1996,yes
Georgia,'(-10000.0, -7500.0]','(12.0, 24.0]','existing paid','new car','(1000.0, 2500.0]','[0.0, 0.01)',<1,4,'female div/dep/mar',none,3,car,'(20.0, 30.0]',none,rent,1,skilled,?,?,yes,good,08/1996,yes
Georgia,'(-7500.0, -5000.0]','(36.0, 48.0]','no credits/all paid',business,'(10000.0, 12500.0]','[50.0, 100.0)',>=7,2,'male single',?,4,car,'(20.0, 30.0]',?,rent,2,skilled,1,none,yes,good,08/1996,yes
Georgia,'(50.0, 100.0]','(12.0, 24.0]','existing paid',radio/tv,?,'[0.0, 0.01)',>=7,2,'female div/dep/mar',none,?,car,'(40.0, 50.0]',none,own,1,skilled,1,?,yes,good,08/1996,yes
Georgia,'(5000.0, 7500.0]','(12.0, 24.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[50.0, 100.0)',<1,2,'female div/dep/mar',none,3,'real estate','(20.0, 30.0]',none,own,1,'unskilled resident',1,none,no,good,08/1996,no
Georgia,'(-7500.0, -5000.0]','(0.0, 12.0]','no credits/all paid','new car','(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,'male single',none,4,?,'(40.0, 50.0]',bank,own,2,?,1,none,yes,good,08/1996,yes
Georgia,'(-0.01, 0.01]','(0.0, 12.0]','existing paid',?,'(500.0, 1000.0]','[0.0, 0.01)',1<=X<4,4,'female div/dep/mar',?,2,car,'(20.0, 30.0]',?,own,?,skilled,1,none,yes,good,08/1996,yes
Georgia,'(-0.01, 0.01]','(0.0, 12.0]','existing paid',furniture/equipment,'(500.0, 1000.0]','[0.0, 0.01)',<1,1,'female div/dep/mar',?,3,'real estate','(20.0, 30.0]',?,rent,1,'unskilled resident',2,none,no,bad,08/1996,no
Georgia,'(-10000.0, -7500.0]',?,'critical/other existing credit','used car',?,'[50.0, 100.0)',>=7,4,'male single',none,4,'life insurance','(60.0, 70.0]',none,own,2,skilled,?,yes,no,bad,08/1996,no
Georgia,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit',radio/tv,'(2500.0, 5000.0]','[0.0, 0.01)',>=7,4,'male mar/wid','co applicant',?,'real estate','(40.0, 50.0]',none,own,2,skilled,1,none,no,good,08/1996,no
Georgia,'(-2500.0, -1000.0]','(24.0, 36.0]','existing paid',furniture/equipment,'(5000.0, 7500.0]','[20.0, 50.0)',4<=X<7,4,'male single',none,2,'life insurance','(20.0, 30.0]',none,own,1,skilled,?,none,no,good,08/1996,no
Georgia,'(-0.01, 0.01]','(12.0, 24.0]','delayed previously','used car','(2500.0, 5000.0]','[0.0, 0.01)',1<=X<4,3,'male single',none,2,'real estate','(20.0, 30.0]',stores,own,2,'unskilled resident',1,none,yes,good,08/1996,yes
Georgia,'(-0.01, 0.01]','(12.0, 24.0]','existing paid',repairs,'(1000.0, 2500.0]','[0.0, 0.01)',?,4,'female div/dep/mar',none,4,'real estate','(20.0, 30.0]',none,?,1,skilled,1,none,yes,good,08/1996,yes
Georgia,'(-0.01, 0.01]','(12.0, 24.0]','all paid',business,'(1000.0, 2500.0]','[0.0, 0.01)',4<=X<7,4,'male single',none,4,car,'(40.0, 50.0]',bank,?,1,skilled,1,yes,no,good,08/1996,no
Georgia,'(-0.01, 0.01]','(12.0, 24.0]','existing paid',furniture/equipment,'(2500.0, 5000.0]','[0.0, 0.01)',>=7,4,'male single',none,4,'life insurance','(40.0, 50.0]',bank,own,?,skilled,2,?,yes,good,08/1996,yes
Georgia,'(100.0, 500.0]','(12.0, 24.0]',?,furniture/equipment,'(2500.0, 5000.0]','[0.0, 0.01)',4<=X<7,2,?,none,3,?,'(30.0, 40.0]',none,own,1,skilled,1,yes,no,good,09/1996,no
Georgia,'(-0.01, 0.01]','(12.0, 24.0]','existing paid','new car','(5000.0, 7500.0]','[0.0, 0.01)',1<=X<4,2,'male single',none,4,car,'(60.0, 70.0]',none,rent,2,skilled,1,?,yes,good,09/1996,yes
Georgia,'(-0.01, 0.01]',?,?,'new car','(1000.0, 2500.0]','[0.0, 0.01)',<1,?,'male mar/wid',none,2,'real estate','(20.0, 30.0]',none,own,1,skilled,1,none,yes,bad,09/1996,yes
Georgia,'(-7500.0, -5000.0]','(0.0, 12.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[20.0, 50.0)',4<=X<7,?,'male single',none,4,'real estate','(50.0, 60.0]',none,own,1,skilled,1,?,no,good,09/1996,no
Hawaii,'(-10000.0, -7500.0]','(0.0, 12.0]','existing paid',?,'(500.0, 1000.0]','[0.01, 20.0)',>=7,4,'male single',none,4,'real estate','(50.0, 60.0]',stores,own,1,'unskilled resident',1,none,yes,good,09/1996,yes
Iowa,'(-5000.0, -2500.0]','(12.0, 24.0]','critical/other existing credit','new car','(1000.0, 2500.0]','[0.01, 20.0)',1<=X<4,4,'male mar/wid',guarantor,2,'life insurance',?,bank,rent,2,skilled,1,none,no,good,09/1996,no
Iowa,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit','used car','(2500.0, 5000.0]','[0.0, 0.01)',4<=X<7,3,'male single',none,4,'life insurance','(40.0, 50.0]',none,own,2,skilled,1,yes,no,good,09/1996,no
Iowa,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,'male single',none,4,'no known property','(30.0, 40.0]',none,'for free',2,skilled,1,yes,yes,bad,09/1996,yes
Iowa,'(-5000.0, -2500.0]','(12.0, 24.0]','all paid',?,'(1000.0, 2500.0]','[50.0, 100.0)',4<=X<7,4,'male single',none,4,?,'(30.0, 40.0]',none,'for free',2,'unskilled resident',2,none,no,good,09/1996,no
Iowa,'(-0.01, 0.01]','(24.0, 36.0]','delayed previously','new car','(10000.0, 12500.0]','[0.0, 0.01)',>=7,2,'male single',none,2,car,'(40.0, 50.0]',?,own,2,skilled,2,yes,no,bad,09/1996,no
Iowa,'(-0.01, 0.01]','(12.0, 24.0]','existing paid','new car','(1000.0, 2500.0]','[0.0, 0.01)',<1,4,'male mar/wid',none,?,'real estate','(30.0, 40.0]',none,own,1,skilled,1,yes,no,good,09/1996,no
Iowa,'(-0.01, 0.01]',?,'existing paid',retraining,'(500.0, 1000.0]','[0.0, 0.01)',4<=X<7,4,'female div/dep/mar',none,3,'life insurance','(30.0, 40.0]',none,own,1,skilled,1,yes,yes,bad,09/1996,yes
Idaho,'(-0.01, 0.01]',?,'critical/other existing credit',furniture/equipment,'(2500.0, 5000.0]','[0.0, 0.01)',1<=X<4,4,?,none,2,'no known property',?,?,'for free',1,skilled,?,yes,yes,good,09/1996,yes
Idaho,'(-5000.0, -2500.0]','(12.0, 24.0]','existing paid','new car','(2500.0, 5000.0]','[0.01, 20.0)',1<=X<4,3,'female div/dep/mar',none,2,?,'(20.0, 30.0]',none,own,1,skilled,1,yes,no,bad,09/1996,no
Illinois,'(-0.01, 0.01]','(0.0, 12.0]','existing paid','new car','(2500.0, 5000.0]','[0.0, 0.01)',1<=X<4,1,'male single',guarantor,2,'real estate','(20.0, 30.0]',none,rent,1,skilled,2,none,no,bad,09/1996,no
Illinois,'(-0.01, 0.01]','(12.0, 24.0]','critical/other existing credit',?,'(5000.0, 7500.0]','[0.0, 0.01)',1<=X<4,4,'male single',none,2,'real estate',?,none,own,2,skilled,?,none,yes,bad,09/1996,yes
Illinois,'(-0.01, 0.01]','(12.0, 24.0]','delayed previously',business,'(1000.0, 2500.0]','[0.0, 0.01)',1<=X<4,4,'male mar/wid',none,2,car,?,none,own,1,skilled,1,?,no,good,09/1996,no
Illinois,'(-5000.0, -2500.0]','(12.0, 24.0]','existing paid',radio/tv,'(1000.0, 2500.0]','[0.0, 0.01)',<1,?,'female div/dep/mar',none,?,'real estate','(30.0, 40.0]',none,own,1,?,1,yes,yes,good,09/1996,yes
Illinois,'(-0.01, 0.01]','(24.0, 36.0]','critical/other existing credit',furniture/equipment,'(2500.0, 5000.0]','[0.0, 0.01)',<1,4,'male single',none,2,'real estate','(30.0, 40.0]',stores,own,2,'unskilled resident',2,yes,no,bad,09/1996,no
Illinois,'(-0.01, 0.01]','(0.0, 12.0]','existing paid',furniture/equipment,'(1000.0, 2500.0]','[0.0, 0.01)',?,2,'male single',?,2,'real estate','(20.0, 30.0]',?,?,1,'unskilled resident',1,none,no,good,09/1996,no
